clause_id,section,source_text,claude_subject,claude_obligation,claude_condition,claude_threshold,claude_deadline,claude_exception,human_subject,human_obligation,human_condition,human_threshold,human_deadline,human_exception,notes
OBL-0001,Preamble,"Securitisation exposures are addressed in the securitisation standard.1 Credit equivalent amounts of OTC derivatives, exchange traded derivatives and long-settlement transactions that expose a bank to counterparty credit risk2 are to be calculated under the counterparty credit risk standards.3 Equity investments in funds and exposures to central counterparties must be treated according to their own specific frameworks.4 1 The securitisation standard is available at www.bis.org/bcbs/publ/d374.pdf.",bank,calculate credit equivalent amounts under counterparty credit risk standards for derivatives and long-settlement transactions,"for OTC derivatives, exchange traded derivatives, and long-settlement transactions that expose to counterparty credit risk",,,,,,,,,,
OBL-0108,Preamble,"In the case where a bank has multiple CRM techniques covering a single exposure (eg a bank has both collateral and a guarantee partially covering an exposure), the bank must subdivide the exposure into portions covered by each type of CRM technique (eg portion covered by collateral, portion covered by guarantee) and the risk-weighted assets of each portion must be calculated separately.",bank,must subdivide the exposure into portions covered by each type of CRM technique and calculate the risk-weighted assets of each portion separately,where a bank has multiple CRM techniques covering a single exposure,,,,,,,,,,
OBL-0171,Preamble,"Basel III: Finalising post-crisis reforms 49 (g) A mismatch between the underlying obligation and the reference obligation under the credit derivative (ie the obligation used for purposes of determining cash settlement value or the deliverable obligation) is permissible if (1) the reference obligation ranks pari passu with or is junior to the underlying obligation, and (2) the underlying obligation and reference obligation share the same obligor (ie the same legal entity) and legally enforceable cross-default or cross- acceleration clauses are in place.",Financial institutions using credit derivatives,May permit mismatch between underlying obligation and reference obligation under credit derivative,Reference obligation ranks pari passu with or is junior to underlying obligation AND underlying obligation and reference obligation share same obligor AND are legally enforceable,,,,,,,,,,
OBL-0623,Section XI,"For counterparties whose credit is not actively traded (ie illiquid counterparties), the market-implied PD must be estimated from proxy credit spreads estimated for these counterparties according to the following requirements: − A bank must estimate the credit spread curves of illiquid counterparties from credit spreads observed in the markets of the counterparty’s liquid peers via an algorithm that discriminates on at least three variables: a measure of credit quality (eg rating), industry, and region.",A bank,"must estimate the credit spread curves of illiquid counterparties from credit spreads observed in the markets of the counterparty's liquid peers via an algorithm that discriminates on at least three variables: a measure of credit quality (eg rating), industry, and","For counterparties whose credit is not actively traded (ie illiquid counterparties), when the market-implied PD must be estimated from proxy credit spreads",at least three variables,,,,,,,,,
OBL-0597,Section XI,"• Bank credit policies with regard to the transaction structure must address appropriate collateral requirements relative to the exposure amount, the ability to liquidate the collateral readily, the ability to establish objectively a price or market value, the frequency with which the value can readily be obtained (including a professional appraisal or valuation), and the volatility of the value of the collateral.",Bank,"credit policies with regard to the transaction structure must address appropriate collateral requirements relative to the exposure amount, the ability to liquidate the collateral readily, the ability to establish objectively a price or market value, the frequency with which the value can readily be obtained (including a professional appraisal or valuation), and the volatility of the value of the collateral",with regard to the transaction structure,,,,,,,,,,
OBL-0273,Section XI,"Dilution refers to the possibility that the receivable amount is reduced through cash or non-cash credits to the receivable’s obligor.20 For both corporate and retail receivables, unless the bank can demonstrate to its supervisor that the dilution risk for the purchasing bank is immaterial, the treatment of dilution risk must be the following: at the level of either the pool as a whole (top-down approach) or the individual receivables making up the pool (bottom-up approach), the purchasing bank will estimate the one-year EL for dilution risk, also expressed in percentage of the receivables amount.",purchasing bank,must follow the specified treatment of dilution risk at the level of either the pool as a whole (top-down approach) or the individual receivables making up the pool (bottom-up approach),for both corporate and retail receivables,one-year EL,,unless the bank can demonstrate to its supervisor that the dilution risk for the purchasing bank is immaterial,,,,,,,
OBL-0048,Preamble,"Debt obligations and other securities, partnerships, derivatives or other vehicles structured with the intent of conveying the economic substance of equity ownership are considered an equity holding.26 This includes liabilities from which the return is linked to that of equities.27 Conversely, equity investments that are structured with the intent of conveying the economic substance of debt holdings or securitisation exposures would not be considered an equity holding.28 25 For certain obligations that require or permit settlement by issuance of a variable number of the issuer’s equity shares, the change in the monetary value of the obligation is equal to the change in the fair value of a fixed number of equity shares multiplied by a specified factor.",Regulated financial entities,"Must classify debt obligations, securities, partnerships, derivatives or other vehicles structured with the intent of conveying economic substance of equity ownership as equity holdings, including liabilities with returns linked to equities; must not classify equity investments structured with intent of conveying economic substance of debt holdings or securitisation exposures as equity holdings",When instruments are structured with the intent of conveying the economic substance of equity ownership OR when liabilities have returns linked to equities OR when equity investments are structured with intent of conveying economic substance of debt holdings or securitisation exposures,,,Equity investments that are structured with the intent of conveying the economic substance of debt holdings or securitisation exposures would not be considered an equity holding,,,,,,,
OBL-0744,Section XI,"If there is a failure of the securities leg of a transaction in such a mechanism at the end of the window for settlement in the settlement mechanism, then this transaction and its matching cash leg must be split out from the netting set and treated gross.31 (ii) A measure of CCR calculated as the current exposure without an add-on for PFE, calculated as follows: • Where a qualifying MNA32 is in place, the current exposure (E*) is the greater of zero and the total fair value of securities and cash lent to a counterparty for all transactions included in the qualifying MNA (∑E i), less the total fair value of cash and securities received from the counterparty for those transactions (∑C i).",regulated entity,split out the transaction and its matching cash leg from the netting set and treat gross,failure of the securities leg of a transaction in such a mechanism at the end of the window for settlement in the settlement mechanism,,at the end of the window for settlement,,,,,,,,
OBL-0509,Section XI,Banks should ensure that their EAD estimates are effectively quarantined from the potential effects of this region of instability.,Banks,should ensure that their EAD estimates are effectively quarantined from the potential effects of this region of instability,,,,,,,,,,,
OBL-0195,Preamble,All of the following criteria must be satisfied for a sub-portfolio to be treated as a qualifying revolving retail exposure (QRRE).,sub-portfolio,must satisfy all specified criteria to be treated as qualifying revolving retail exposure,for treatment as a qualifying revolving retail exposure (QRRE),all criteria,,,,,,,,,
OBL-0104,Preamble,The Pillar 3 requirements must be fulfilled for banks to obtain capital relief in respect of any CRM techniques.,banks,fulfill the Pillar 3 requirements,to obtain capital relief in respect of any CRM techniques,,,,,,,,,,
OBL-0748,Section XI,"If the OBS item is treated as a derivative exposure per the bank’s relevant accounting standard, then the item must be measured as a derivative exposure for the purpose of the leverage ratio exposure measure.",bank,must measure the OBS item as a derivative exposure for the purpose of the leverage ratio exposure measure,if the OBS item is treated as a derivative exposure per the bank's relevant accounting standard,,,,,,,,,,
OBL-0684,Section XI,(d) A bank’s internal loss data must be comprehensive and capture all material activities and exposures from all appropriate subsystems and geographic locations.,A bank,internal loss data must be comprehensive and capture all material activities and exposures from all appropriate subsystems and geographic locations,,,,,,,,,,,
OBL-0211,Preamble,"For retail exposures, banks must provide their own estimates of PD, LGD and EAD.",banks,"must provide their own estimates of PD, LGD and EAD",For retail exposures,,,,,,,,,,
OBL-0223,Section XI,The PD for each exposure that is used as input into the risk weight formula and the calculation of expected loss must not be less than 0.05%.,The regulated entity,must ensure that the PD for each exposure used as input into the risk weight formula and the calculation of expected loss is not less than 0.05%,for each exposure that is used as input into the risk weight formula and the calculation of expected loss,0.05%,,,,,,,,,
OBL-0517,Section XI,"In adopting one or the other technique, a bank must adopt a consistent approach, both across types of guarantees and over time.",a bank,"must adopt a consistent approach, both across types of guarantees and over time",In adopting one or the other technique,,,,,,,,,,
OBL-0583,Section XI,All documentation used in collateralised transactions must be binding on all parties and legally enforceable in all relevant jurisdictions.,All documentation used in collateralised transactions,must be binding on all parties and legally enforceable in all relevant jurisdictions,in collateralised transactions,,,,,,,,,,
OBL-0462,Section XI,"Where only limited data are available, or where underwriting standards or rating systems have changed, the bank must add a greater margin of conservatism in its estimate of PD.",the bank,must add a greater margin of conservatism in its estimate of PD,"Where only limited data are available, or where underwriting standards or rating systems have changed",,,,,,,,,,
OBL-0188,Preamble,"and • As a result of the preceding factors, the primary source of repayment of the obligation is the income generated by the asset(s), rather than the independent capacity of a broader commercial enterprise.",,"the primary source of repayment of the obligation is the income generated by the asset(s), rather than the independent capacity of a broader commercial enterprise","As a result of the preceding factors, the primary source of repayment of the obligation is the income generated by the asset(s), rather than the independent capacity of a broader commercial enterprise",,,,,,,,,,
OBL-0489,Section XI,"The less data a bank has, the more conservative it must be in its estimation.",bank,must be more conservative in its estimation,when having less data,,,,,,,,,,
OBL-0264,Section XI,"For retail exposures with uncertain future drawdown such as credit cards, banks must take into account their history and/or expectation of additional drawings prior to default in their overall calibration 76 Basel III: Finalising post-crisis reforms of loss estimates.",banks,must take into account their history and/or expectation of additional drawings prior to default in their overall calibration of loss estimates,For retail exposures with uncertain future drawdown such as credit cards,,,,,,,,,,
OBL-0363,Section XI,"Similarly, for retail, each exposure must be assigned to a pool as part of the loan approval process.",each exposure,each exposure must be assigned to a pool as part of the loan approval process,for retail,,,,,,,,,,
OBL-0551,Section XI,A bank must demonstrate to its supervisor that the internal validation process enables it to assess the performance of internal rating and risk estimation systems consistently and meaningfully.,A bank,must demonstrate to its supervisor that the internal validation process enables it to assess the performance of internal rating and risk estimation systems consistently and meaningfully,,,,,,,,,,,
OBL-0309,Section XI,"Banks must demonstrate that this process provides for a meaningful differentiation of risk, provides for a grouping of sufficiently homogenous exposures, and allows for accurate and consistent estimation of loss characteristics at pool level.",Banks,"must demonstrate that this process provides for a meaningful differentiation of risk, provides for a grouping of sufficiently homogenous exposures, and allows for accurate and consistent estimation of loss characteristics at pool level",,,,,,,,,,,
OBL-0316,Section XI,Significant concentrations within a single grade or grades must be supported by convincing empirical evidence that the grade or grades cover reasonably narrow PD bands and that the default risk posed by all borrowers in a grade fall within that band.,Significant concentrations within a single grade or grades,must be supported by convincing empirical evidence that the grade or grades cover reasonably narrow PD bands and that the default risk posed by all borrowers in a grade fall within that band,Significant concentrations within a single grade or grades,,,,,,,,,,
OBL-0175,Preamble,"If the amount of the credit derivative is larger than that of the underlying obligation, then the amount of eligible hedge is capped at 60% of the amount of the underlying obligation.",,the amount of eligible hedge is capped at 60% of the amount of the underlying obligation,If the amount of the credit derivative is larger than that of the underlying obligation,60% of the amount of the underlying obligation,,,,,,,,,
OBL-0522,Section XI,"The bank must, however, have clearly specified criteria for the types of guarantors it will recognise for regulatory capital purposes.",The bank,must have clearly specified criteria for the types of guarantors it will recognise for regulatory capital purposes,for regulatory capital purposes,,,,,,,,,,
OBL-0649,Section XI,• Banks must define criteria on which to assess the exposure models and their inputs and have a written policy in place to describe the process by which unacceptable performance will be determined and remedied.,Banks,must define criteria on which to assess the exposure models and their inputs and have a written policy in place to describe the process by which unacceptable performance will be determined and remedied,,,,,,,,,,,
OBL-0715,Section XI,"Unless specified differently below, banks must not take account of physical or financial collateral, guarantees or other credit risk mitigation techniques to reduce the leverage ratio exposure measure, nor may banks net assets and liabilities.",banks,"must not take account of physical or financial collateral, guarantees or other credit risk mitigation techniques to reduce the leverage ratio exposure measure, nor may banks net assets and liabilities",Unless specified differently below,,,Unless specified differently below,,,,,,,
OBL-0672,Section XI,"That is, a bank with losses that are low relative to its BIC is required to hold lower capital due to the incorporation of internal losses into the calculation methodology.",a bank,is required to hold lower capital due to the incorporation of internal losses into the calculation methodology,with losses that are low relative to its BIC,,,,,,,,,,
OBL-0071,Preamble,"To ensure that the value of the property is appraised in a prudently conservative manner, the valuation must exclude expectations on price increases and must be adjusted to take into account the potential for the current market price to be significantly above the value that would be sustainable over the life of the loan.",the valuation,must exclude expectations on price increases and must be adjusted to take into account the potential for the current market price to be significantly above the value that would be sustainable over the life of the loan,To ensure that the value of the property is appraised in a prudently conservative manner,,,,,,,,,,
OBL-0448,Section XI,Basel III: Finalising post-crisis reforms 93 estimates beyond the date of implementation of this Framework must be consistent with the reference definition.,estimates,estimates beyond the date of implementation of this Framework must be consistent with the reference definition,beyond the date of implementation of this Framework,,date of implementation of this Framework,,,,,,,,
OBL-0270,Section XI,The estimated EL must be calculated for the receivables on a stand-alone basis;,The estimated EL,The estimated EL must be calculated for the receivables on a stand-alone basis,on a stand-alone basis,,,,,,,,,,
OBL-0280,Section XI,"Banks must calculate EL as PD x LGD for corporate, bank, and retail exposures not in default.",Banks,must calculate EL as PD x LGD,"for corporate, bank, and retail exposures not in default",,,,,,,,,,
OBL-0444,Section XI,"As such, default by a borrower on one obligation does not require a bank to treat all other obligations to the banking group as defaulted.",bank,does not require a bank to treat all other obligations to the banking group as defaulted,default by a borrower on one obligation,,,,,,,,,,
OBL-0103,Preamble,No transaction in which CRM techniques are used shall receive a higher capital requirement than an otherwise identical transaction where such techniques are not used.,transaction,shall not receive a higher capital requirement than an otherwise identical transaction where such techniques are not used,transaction in which CRM techniques are used,,,,,,,,,,
OBL-0739,Section XI,"• for tranched products, the credit protection purchased through credit derivatives must be on a reference obligation with the same level of seniority.",,credit protection purchased through credit derivatives must be on a reference obligation with the same level of seniority,for tranched products,,,,,,,,,,
OBL-0092,Preamble,Defaulted residential real estate exposures where repayments do not materially depend on cash flows generated by the property securing the loan shall be risk-weighted net of specific provisions and partial write-offs at 100%.,Defaulted residential real estate exposures where repayments do not materially depend on cash flows generated by the property securing the loan,shall be risk-weighted net of specific provisions and partial write-offs at 100%,Defaulted residential real estate exposures where repayments do not materially depend on cash flows generated by the property securing the loan,100%,,,,,,,,,
OBL-0074,Preamble,• pre-sale or pre-lease contracts amount to a signficant portion of total contracts or substantial equity at risk.52 Pre-sale or pre-lease contracts must be legally binding written contracts and the purchaser/renter must have made a substantial cash deposit which is subject to forfeiture if the contract is terminated.,Pre-sale or pre-lease contracts,must be legally binding written contracts and the purchaser/renter must have made a substantial cash deposit which is subject to forfeiture if the contract is terminated,when pre-sale or pre-lease contracts amount to a significant portion of total contracts or substantial equity at risk,significant portion of total contracts or substantial equity at risk,,,,,,,,,
OBL-0166,Preamble,"If the reference obligation specified in the credit derivative for purposes of cash settlement is different from the underlying obligation, section (g) below governs whether the asset mismatch is permissible.",,section (g) below governs whether the asset mismatch is permissible,If the reference obligation specified in the credit derivative for purposes of cash settlement is different from the underlying obligation,,,,,,,,,,
OBL-0568,Section XI,"• Legal enforceability: any claim on collateral taken must be legally enforceable in all relevant jurisdictions, and any claim on collateral must be properly filed on a timely basis.",,ensure any claim on collateral taken is legally enforceable in all relevant jurisdictions and any claim on collateral is properly filed on a timely basis,when taking claims on collateral,,timely basis,,,,,,,,
OBL-0154,Preamble,"In the case of maturity mismatches, the amount of credit protection that is provided must be adjusted in accordance with paragraphs 126 to 130.",,must adjust the amount of credit protection that is provided in accordance with paragraphs 126 to 130,in the case of maturity mismatches,,,,,,,,,,
OBL-0471,Section XI,"Irrespective of whether a bank is using external, internal, or pooled data sources, or a combination of the three, for its PD estimation, the length of the underlying historical observation period used must be at least five years for at least one source.",bank,must ensure the length of the underlying historical observation period used is at least five years for at least one source,"when using external, internal, or pooled data sources, or a combination of the three, for PD estimation",at least five years,,,,,,,,,
OBL-0437,Section XI,• The obligor is past due more than 90 days on any material credit obligation to the banking group.26 Overdrafts will be considered as being past due once the customer has breached an advised limit or been advised of a limit smaller than current outstandings.,banking group,classify obligor as past due when more than 90 days delinquent on material credit obligation,obligor is past due more than 90 days on any material credit obligation OR customer has breached an advised limit or been advised of a limit smaller than current outstandings for overdrafts,90 days,,,,,,,,,
OBL-0419,Section XI,"PD estimates must be a long-run average of one-year default rates for borrowers in the grade, with the exception of retail exposures as set out in paragraph 233 and 234.",PD estimates,PD estimates must be a long-run average of one-year default rates for borrowers in the grade,,long-run average of one-year default rates,,retail exposures as set out in paragraph 233 and 234,,,,,,,
OBL-0282,Section XI,Specific provisions set aside against securitisation exposures must not be included in total eligible provisions.,Specific provisions set aside against securitisation exposures,must not be included in total eligible provisions,Specific provisions set aside against securitisation exposures,,,,,,,,,,
OBL-0184,Preamble,Banks must demonstrate to supervisors that their methodology for assigning exposures to different classes is appropriate and consistent over time.,Banks,must demonstrate to supervisors that their methodology for assigning exposures to different classes is appropriate and consistent over time,,,,,,,,,,,
OBL-0061,Preamble,(ii) the guarantor shall be either a bank or a financial institution subject to capital requirements comparable to those applied to banks or an insurance undertaking;,the guarantor,shall be either a bank or a financial institution subject to capital requirements comparable to those applied to banks or an insurance undertaking,,capital requirements comparable to those applied to banks,,,,,,,,,
OBL-0567,Section XI,"As such, repayment of the facility is not materially dependent on any cash flow generated by the underlying CRE/RRE serving as collateral;29 and • Additionally, the value of the collateral pledged must not be materially dependent on the performance of the borrower.",facility repayment structure,repayment must not be materially dependent on cash flow from underlying CRE/RRE collateral and collateral value must not be materially dependent on borrower performance,when CRE/RRE serves as collateral,not materially dependent,,,,,,,,,
OBL-0697,Section XI,Loss data is required to be reported on both a gross basis and after recoveries and loss exclusions.,Loss data,report loss data on both a gross basis and after recoveries and loss exclusions,,,,,,,,,,,
OBL-0318,Section XI,The criteria used to define facility grades must be grounded in empirical evidence.,,The criteria used to define facility grades must be grounded in empirical evidence,when defining facility grades,,,,,,,,,,
OBL-0535,Section XI,"In addition, methods and data for estimating PD, LGD, and EL must comply with the existing risk quantification standards for retail exposures.","methods and data for estimating PD, LGD, and EL",must comply with the existing risk quantification standards,for retail exposures,,,,,,,,,,
OBL-0454,Section XI,Any break of this limit must be monitored;,,must be monitored,any break of this limit,,,,,,,,,,
OBL-0693,Section XI,"The total loss amount and number of exclusions must be disclosed under Pillar 3 with appropriate narratives, including total loss amount and number of exclusions.",regulated entity,disclose the total loss amount and number of exclusions under Pillar 3 with appropriate narratives,under Pillar 3,,,,,,,,,,
OBL-0259,Section XI,In case the bank applies the standardised approach to direct exposures to the guarantor it must assign the standardised approach risk weight to the covered portion of the exposure.,the bank,must assign the standardised approach risk weight to the covered portion of the exposure,the bank applies the standardised approach to direct exposures to the guarantor,,,,,,,,,,
OBL-0129,Preamble,"In the comprehensive approach, when taking collateral, banks must calculate their adjusted exposure to a counterparty in order to take account of the risk mitigating effect of that collateral.",banks,must calculate their adjusted exposure to a counterparty in order to take account of the risk mitigating effect of that collateral,"In the comprehensive approach, when taking collateral",,,,,,,,,,
OBL-0371,Section XI,"Certain credits, especially higher risk borrowers or problem exposures, must be subject to more frequent review.","Certain credits, especially higher risk borrowers or problem exposures",must be subject to more frequent review,"Certain credits, especially higher risk borrowers or problem exposures",,,,,,,,,,
OBL-0675,Section XI,"Similar to bank holding companies, when BI figures for sub-consolidated or subsidiary banks reach bucket 2, these banks are required to use loss experience in the standardised approach calculations.",sub-consolidated or subsidiary banks,required to use loss experience in the standardised approach calculations,when BI figures for sub-consolidated or subsidiary banks reach bucket 2,bucket 2,,,,,,,,,
OBL-0434,Section XI,"Where methods and data are less satisfactory and the likely range of errors is larger, the margin of conservatism must be larger.",,the margin of conservatism must be larger,Where methods and data are less satisfactory and the likely range of errors is larger,,,,,,,,,,
OBL-0731,Section XI,"The MNA must be legally enforceable and effective (ie it satisfies the conditions in paragraph 4 (c) and paragraph 5 of the Annex) in all relevant jurisdictions, including in the event of default and bankruptcy or insolvency.",MNA,must be legally enforceable and effective,"satisfies the conditions in paragraph 4 (c) and paragraph 5 of the Annex; in all relevant jurisdictions, including in the event of default and bankruptcy or insolvency",,,,,,,,,,
OBL-0148,Preamble,"To determine whether the treatment in paragraph 185 applies to an in-scope SFT (or a netting set of SFTs in the case of portfolio-level haircuts), we must compare the collateral haircut H (real or calculated as per the rules below) and a haircut floor f (from paragraph 184 above or calculated as per the below rules).",we,must compare the collateral haircut H (real or calculated as per the rules below) and a haircut floor f (from paragraph 184 above or calculated as per the below rules),To determine whether the treatment in paragraph 185 applies to an in-scope SFT (or a netting set of SFTs in the case of portfolio-level haircuts),,,,,,,,,,
OBL-0706,Section XI,"The SEC-ERBA, SEC-SA or a risk-weight of 1250% must also be used when determining the default risk charge component for securitisations held in the trading book.7 • Operational risk: the standardised approach for operational risk.8 7.",regulated entities,"must use SEC-ERBA, SEC-SA or a risk-weight of 1250% when determining the default risk charge component for securitisations held in the trading book",when determining the default risk charge component for securitisations held in the trading book,1250% risk-weight,,,,,,,,,
OBL-0224,Section XI,A bank must provide an estimate of the LGD for each corporate and bank exposure.,A bank,must provide an estimate of the LGD,for each corporate and bank exposure,,,,,,,,,,
OBL-0121,Preamble,"Banks must have collateral risk management policies in place to control, monitor and report: • the risk to which margin agreements expose them (such as the volatility and liquidity of the securities exchanged as collateral);",Banks,"must have collateral risk management policies in place to control, monitor and report the risk to which margin agreements expose them (such as the volatility and liquidity of the securities exchanged as collateral)",,,,,,,,,,,
OBL-0283,Section XI,"Banks using the standardised approach for a portion of their credit risk exposures (see paragraphs 44 to 48), must determine the portion of general provisions attributed to the standardised or IRB treatment of provisions according to the methods outlined in paragraphs 149 and 150.",Banks using the standardised approach for a portion of their credit risk exposures,must determine the portion of general provisions attributed to the standardised or IRB treatment of provisions according to the methods outlined in paragraphs 149 and 150,using the standardised approach for a portion of their credit risk exposures (see paragraphs 44 to 48),,,,,,,,,,
OBL-0666,Section XI,Bucket-level capital charges must then be aggregated across buckets within each risk type (the correlation parameters γ applicable to each risk type are specified in Section C.6.,,Bucket-level capital charges must be aggregated across buckets within each risk type,correlation parameters γ applicable to each risk type are specified in Section C.6,,,,,,,,,,
OBL-0146,Preamble,"For these transactions, the floors must be calculated according to the formula set out in paragraph 187.",the floors,must be calculated according to the formula set out in paragraph 187,For these transactions,,,,,,,,,,
OBL-0435,Section XI,"However, in such cases banks must demonstrate to their supervisors that appropriate adjustments have been made to achieve broad equivalence to the data without such flexibility.",banks,must demonstrate to their supervisors that appropriate adjustments have been made to achieve broad equivalence to the data without such flexibility,in such cases,,,,,,,,,,
OBL-0726,Section XI,"Hence, when calculating the exposure amount by applying paragraphs 33 to 35 above, a bank must not reduce the leverage ratio exposure measure amount by any collateral received from the counterparty.",a bank,must not reduce the leverage ratio exposure measure amount by any collateral received from the counterparty,when calculating the exposure amount by applying paragraphs 33 to 35 above,,,,,,,,,,
OBL-0029,Preamble,Due diligence analysis must never result in the application of a lower risk weight than that determined by the external rating.,Due diligence analysis,Due diligence analysis must never result in the application of a lower risk weight than that determined by the external rating,Due diligence analysis,lower risk weight than that determined by the external rating,,,,,,,,,
OBL-0266,Section XI,"Conversely, if the bank does not incorporate the possibility of additional drawings in its LGD estimates, it must do so in its EAD estimates.",the bank,must incorporate the possibility of additional drawings in its EAD estimates,if the bank does not incorporate the possibility of additional drawings in its LGD estimates,,,,,,,,,,
OBL-0740,Section XI,"26 Specifically, the credit quality of the counterparty must not be positively correlated with the value of the reference obligation (ie the credit quality of the counterparty falls when the value of the reference obligation falls and the value of the purchased credit derivative increases).",counterparty,must not have credit quality positively correlated with the value of the reference obligation,when the counterparty's credit quality and reference obligation value move in the same direction,,,,,,,,,,
OBL-0414,Section XI,"Where there are such differences, a bank must document them and demonstrate their reasonableness to the supervisor.",bank,must document them and demonstrate their reasonableness to the supervisor,Where there are such differences,,,,,,,,,,
OBL-0702,Section XI,The risk-weighted assets that banks must use to determine compliance with the requirements set out in paragraphs 2 to 3 above must be calculated as the maximum of: (i) the total risk-weighted assets calculated using the approaches that the bank has supervisory approval to use in accordance with the Basel capital framework (including both standardised and internally-modelled based approaches);,banks,must use risk-weighted assets calculated as the maximum of total risk-weighted assets using supervisory approved approaches to determine compliance with requirements in paragraphs 2 to 3,when determining compliance with the requirements set out in paragraphs 2 to 3,maximum of total risk-weighted assets calculated using approved approaches,,,,,,,,,
OBL-0729,Section XI,"To meet this criterion, derivative positions must be valued daily and cash variation margin must be transferred at least daily to the counterparty or to the counterparty’s account, as appropriate.",derivative positions and cash variation margin,derivative positions must be valued daily and cash variation margin must be transferred at least daily to the counterparty or to the counterparty's account,To meet this criterion,,daily,,,,,,,,
OBL-0183,Preamble,"While it is not the intention of the Committee to require banks to change the way in which they manage their business and risks, banks are required to apply the appropriate treatment to each exposure for the purposes of deriving their minimum capital requirement.",banks,apply the appropriate treatment to each exposure for the purposes of deriving their minimum capital requirement,for the purposes of deriving their minimum capital requirement,,,,,,,,,,
OBL-0728,Section XI,"Similarly, with regard to collateral provided, banks must gross up their leverage ratio exposure measure by the amount of any derivatives collateral provided where the provision of that collateral has reduced the value of their balance sheet assets under their operative accounting framework.",banks,must gross up their leverage ratio exposure measure by the amount of any derivatives collateral provided,"with regard to collateral provided, where the provision of that collateral has reduced the value of their balance sheet assets under their operative accounting framework",by the amount of any derivatives collateral provided,,,,,,,,,
OBL-0060,Preamble,These loans may be treated as residential real estate exposures (rather than guaranteed loans) if the following additional conditions are met: (i) the borrower shall be contractually committed not to grant any mortgage lien without the consent of the bank that granted the loan;,the borrower,shall be contractually committed not to grant any mortgage lien without the consent of the bank that granted the loan,if the following additional conditions are met for loans to be treated as residential real estate exposures rather than guaranteed loans,,,,,,,,,,
OBL-0169,Preamble,This determination must not be the sole responsibility of the protection seller.,protection seller,must not be the sole responsibility of,this determination,,,,,,,,,,
OBL-0412,Section XI,Internal audit must document its findings.,Internal audit,must document its findings,,,,,,,,,,,
OBL-0030,Preamble,"For corporate exposures of banks incorporated in jurisdictions that allow the use of external ratings for regulatory purposes, banks will assign “base” risk weights according to Table 10.22 Banks must perform due diligence to ensure that the external ratings appropriately and conservatively reflect the creditworthiness of the counterparties.",banks,assign base risk weights according to Table 10.22 and perform due diligence to ensure that external ratings appropriately and conservatively reflect the creditworthiness of counterparties,for corporate exposures of banks incorporated in jurisdictions that allow the use of external ratings for regulatory purposes,,,,,,,,,,
OBL-0005,Preamble,Banks must be able to demonstrate to their supervisors that their due diligence analyses are appropriate.,Banks,must be able to demonstrate to their supervisors that their due diligence analyses are appropriate,,,,,,,,,,,
OBL-0041,Preamble,The following conditions must also be met: • The project finance entity is restricted from acting to the detriment of the creditors (eg by not being able to issue additional debt without the consent of existing creditors);,project finance entity,must be restricted from acting to the detriment of the creditors,The following conditions must also be met,,,,,,,,,,
OBL-0561,Section XI,Changes in methods and data (both data sources and periods covered) must be clearly and thoroughly documented.,Changes in methods and data (both data sources and periods covered),must be clearly and thoroughly documented,Changes in methods and data (both data sources and periods covered),,,,,,,,,,
OBL-0134,Preamble,The exposure amount after risk mitigation (E*) must be multiplied by the risk weight of the counterparty to obtain the risk-weighted asset amount for the collateralised transaction.,banks/financial institutions,must multiply the exposure amount after risk mitigation (E*) by the risk weight of the counterparty to obtain the risk-weighted asset amount for the collateralised transaction,for the collateralised transaction,,,,,,,,,,
OBL-0600,Section XI,The minimum requirements for the collateral type must be met (CRE/RRE or other collateral).,the collateral type,meet the minimum requirements for the collateral type,CRE/RRE or other collateral,minimum requirements,,,,,,,,,
OBL-0636,Section XI,"• The distribution of modelled risk factors must account for the possible non-normality of the distribution of exposures, including the existence of leptokurtosis (“fat tails”), where appropriate.",The distribution of modelled risk factors,"The distribution of modelled risk factors must account for the possible non-normality of the distribution of exposures, including the existence of leptokurtosis (""fat tails"")",where appropriate,,,,,,,,,,
OBL-0508,Section XI,"ie for each observation in the reference data set, default outcomes must be linked to relevant obligor and facility characteristics twelve months prior to default.",,default outcomes must be linked to relevant obligor and facility characteristics twelve months prior to default,for each observation in the reference data set,twelve months,twelve months prior to default,,,,,,,,
OBL-0286,Section XI,To be eligible for the IRB approach a bank must demonstrate to its supervisor that it meets certain minimum requirements at the outset and on an ongoing basis.,bank,must demonstrate to its supervisor that it meets certain minimum requirements,to be eligible for the IRB approach,,at the outset and on an ongoing basis,,,,,,,,
OBL-0449,Section XI,"If the bank considers that a previously defaulted exposure’s status is such that no trigger of the reference definition any longer applies, the bank must rate the borrower and estimate LGD as they would for a non-defaulted facility.",the bank,must rate the borrower and estimate LGD as they would for a non-defaulted facility,If the bank considers that a previously defaulted exposure's status is such that no trigger of the reference definition any longer applies,,,,,,,,,,
OBL-0190,Preamble,Other supervisors need to ensure that such treatment is then applied equally to banks under their supervision when making such HVCRE loans in that jurisdiction.,Other supervisors,ensure that such treatment is then applied equally to banks under their supervision when making such HVCRE loans in that jurisdiction,when making such HVCRE loans in that jurisdiction,,,,,,,,,,
OBL-0392,Section XI,An IRB bank must have in place sound stress testing processes for use in the assessment of capital adequacy.,IRB bank,must have in place sound stress testing processes for use in the assessment of capital adequacy,,,,,,,,,,,
